precision,recall,threshold
0.5628415300546448,1.0,0.021969154477119446
0.5604395604395604,0.9902912621359223,0.02205324359238148
0.56353591160221,0.9902912621359223,0.023152213543653488
0.5666666666666667,0.9902912621359223,0.02470705285668373
0.5730337078651685,0.9902912621359223,0.02874061651527882
0.576271186440678,0.9902912621359223,0.03128119558095932
0.5828571428571429,0.9902912621359223,0.038521379232406616
0.5862068965517241,0.9902912621359223,0.040645532310009
0.5895953757225434,0.9902912621359223,0.04349509999155998
0.5964912280701754,0.9902912621359223,0.044347025454044335
0.5941176470588235,0.9805825242718447,0.047690678387880325
0.5976331360946746,0.9805825242718447,0.048580456525087364
0.6047904191616766,0.9805825242718447,0.052103139460086816
0.6158536585365854,0.9805825242718447,0.05281514301896095
0.6196319018404908,0.9805825242718447,0.05372076109051704
0.6234567901234568,0.9805825242718447,0.06024513766169547
0.6273291925465838,0.9805825242718447,0.060848619788885124
0.63125,0.9805825242718447,0.06229442358016968
0.6352201257861635,0.9805825242718447,0.06793131679296494
0.6392405063291139,0.9805825242718447,0.07798560708761215
0.643312101910828,0.9805825242718447,0.08408132940530777
0.6474358974358975,0.9805825242718447,0.09337371587753296
0.6516129032258065,0.9805825242718447,0.09547621756792067
0.6558441558441559,0.9805825242718447,0.10522890090942384
0.6535947712418301,0.970873786407767,0.1250743567943573
0.6513157894736842,0.9611650485436893,0.13640739023685455
0.6556291390728477,0.9611650485436893,0.15776215493679047
0.66,0.9611650485436893,0.1580519825220108
0.6644295302013423,0.9611650485436893,0.16625334322452545
0.668918918918919,0.9611650485436893,0.17827358841896054
0.673469387755102,0.9611650485436893,0.1999162435531616
0.678082191780822,0.9611650485436893,0.21562828123569489
0.6875,0.9611650485436893,0.22167819738388064
0.6923076923076923,0.9611650485436893,0.22168880701065066
0.6971830985915493,0.9611650485436893,0.23147329688072205
0.7021276595744681,0.9611650485436893,0.2884546816349029
0.7071428571428572,0.9611650485436893,0.3132378160953522
0.7122302158273381,0.9611650485436893,0.3772601187229157
0.717391304347826,0.9611650485436893,0.3998312950134277
0.7132352941176471,0.941747572815534,0.4245798885822296
0.7185185185185186,0.941747572815534,0.4300176799297333
0.7238805970149254,0.941747572815534,0.4658346474170685
0.7218045112781954,0.9320388349514563,0.47262957692146296
0.7272727272727273,0.9320388349514563,0.4887340068817138
0.732824427480916,0.9320388349514563,0.4892387986183167
0.7384615384615385,0.9320388349514563,0.4988120496273041
0.7441860465116279,0.9320388349514563,0.5131797790527344
0.7559055118110236,0.9320388349514563,0.5291873216629028
0.752,0.912621359223301,0.5403813719749451
0.75,0.9029126213592233,0.5424334406852722
0.7560975609756098,0.9029126213592233,0.5549100041389465
0.775,0.9029126213592233,0.5596360564231873
0.788135593220339,0.9029126213592233,0.5840017199516296
0.7948717948717948,0.9029126213592233,0.5881990790367126
0.8017241379310345,0.9029126213592233,0.5882613658905029
0.7964601769911505,0.8737864077669902,0.6074506640434265
0.8035714285714286,0.8737864077669902,0.6130791902542114
0.8018018018018018,0.8640776699029126,0.6350112557411194
0.7981651376146789,0.8446601941747572,0.6463935375213623
0.794392523364486,0.8252427184466019,0.6582430005073547
0.8018867924528302,0.8252427184466019,0.6620321273803711
0.8173076923076923,0.8252427184466019,0.6662571430206299
0.8252427184466019,0.8252427184466019,0.6861177086830139
0.8415841584158416,0.8252427184466019,0.6903815269470215
0.84,0.8155339805825242,0.7001334428787231
0.8571428571428571,0.8155339805825242,0.7068572640419006
0.8556701030927835,0.8058252427184466,0.7101031541824341
0.8541666666666666,0.7961165048543689,0.710918128490448
0.8631578947368421,0.7961165048543689,0.7148405313491821
0.8723404255319149,0.7961165048543689,0.7200348377227783
0.8709677419354839,0.7864077669902912,0.7256190776824951
0.8804347826086957,0.7864077669902912,0.7256386280059814
0.8901098901098901,0.7864077669902912,0.7257726192474365
0.8888888888888888,0.7766990291262136,0.7279883623123169
0.8863636363636364,0.7572815533980582,0.7329025268554688
0.8837209302325582,0.7378640776699029,0.7416113615036011
0.9047619047619048,0.7378640776699029,0.7440220713615417
