fpr,tpr,avg,thresholds
0.607843137,0.980582524,0.607843137,0.053720761
0.617647059,0.980582524,0.617647059,0.052815143
0.647058824,0.980582524,0.647058824,0.052103139
0.666666667,0.980582524,0.666666667,0.048580457
0.676470588,0.980582524,0.676470588,0.047690678
0.676470588,0.990291262,0.676470588,0.044347025
0.696078431,0.990291262,0.696078431,0.0434951
0.705882353,0.990291262,0.705882353,0.040645532
0.715686275,0.990291262,0.715686275,0.038521379
0.735294118,0.990291262,0.735294118,0.031281196
0.745098039,0.990291262,0.745098039,0.028740617
0.764705882,0.990291262,0.764705882,0.024707053
0.774509804,0.990291262,0.774509804,0.023152214
0.784313725,0.990291262,0.784313725,0.022053244
0.784313725,1,0.784313725,0.021969154
0.794117647,1,0.794117647,0.020042548
0.803921569,1,0.803921569,0.019303311
0.81372549,1,0.81372549,0.018344436
0.823529412,1,0.823529412,0.016813805
0.833333333,1,0.833333333,0.016450159
0.843137255,1,0.843137255,0.014865967
0.852941176,1,0.852941176,0.009584389
0.862745098,1,0.862745098,0.006741729
0.87254902,1,0.87254902,0.005639713
0.882352941,1,0.882352941,0.005384915
0.892156863,1,0.892156863,0.00500733
0.911764706,1,0.911764706,0.004839846
0.941176471,1,0.941176471,0.003187255
0.960784314,1,0.960784314,0.002908103
0.980392157,1,0.980392157,0.001821321
0.990196078,1,0.990196078,0.001642953
1,1,1,0.000631003
